date,game,season,tournament,gameLength,firstPoints,firstNick,secondPoints,secondNick,thirdPoints,thirdNick,fourthPoints,fourthNick
06/11/2016,23,1,,H,12.0,Chiwi,-50.0,Mati,-13.0,Nico,51.0,Pato
06/11/2016,24,1,,T,-42.0,Bata,-25.0,Lui,53.0,Nico,14.0,Pato
06/11/2016,25,1,,H,-30.0,Mati,6.0,Mayra,-14.0,Pato,38.0,Pedro
06/11/2016,26,1,,H,-16.0,Juan,-44.0,Lui,5.0,Pato,55.0,Pedro
13/11/2016,27,1,,H,26.0,Adriel,-59.0,Chiwi,58.0,Ezequiel,-25.0,Koki
13/11/2016,28,1,,H,-44.0,Adriel,47.0,Chiwi,15.0,Ezequiel,-18.0,Koki
13/11/2016,29,1,,T,-48.0,Koki,19.0,Mati,-24.0,Mayra,53.0,Naoko
11/12/2016,30,1,,H,-16.0,Chiwi,14.0,Ezequiel,-48.0,Nico,50.0,Pato
11/12/2016,31,1,,H,-23.0,Chiwi,1.0,Ezequiel,-34.0,Nico,56.0,Pato
11/12/2016,32,1,,H,-46.0,Chiwi,22.0,Ezequiel,-28.0,Nico,52.0,Pato
11/12/2016,33,1,,H,-52.0,Chiwi,52.0,Ezequiel,-14.0,Nico,14.0,Pato
11/12/2016,34,1,,H,17.0,Bata,-47.0,Lui,56.0,Mati,-26.0,Mayra
11/12/2016,35,1,,H,-40.0,Bata,-21.0,Lui,48.0,Mati,13.0,Mayra
17/12/2016,36,1,,H,-47.0,Chiwi,-28.0,Ezequiel,57.0,Koki,18.0,Pato
17/12/2016,37,1,,H,-53.0,Chiwi,-15.0,Haku/Kozi,15.0,Mati,53.0,Mayra
17/12/2016,38,1,,T,-21.0,Ezequiel,10.0,Koki,-38.0,Haku/Kozi,49.0,Pato
17/12/2016,39,1,,T,9.0,Ezequiel,48.0,Koki,-13.0,Mati,-44.0,Mayra
30/12/2016,40,1,,H,43.0,Ezequiel,14.0,Haku/Kozi,-37.0,Mati,-20.0,Nico
30/12/2016,41,1,,H,-19.0,Ezequiel,7.0,Haku/Kozi,-30.0,Mati,42.0,Nico
30/12/2016,42,1,,H,-14.0,Ezequiel,-49.0,Ini,11.0,Haku/Kozi,52.0,Nico
30/12/2016,43,1,,H,-10.0,Ezequiel,-42.0,Ini,37.0,Haku/Kozi,15.0,Mati
30/12/2016,44,1,,H,49.0,Azul,-16.0,Ezequiel,17.0,Ini,-50.0,Nico
06/01/2017,45,1,,H,74.0,JC,-30.0,Kime,3.0,Pato,-47.0,Pedro
06/01/2017,46,1,,H,-21.0,Agus,-37.0,Akito,44.0,Haku/Kozi,14.0,Nico
06/01/2017,47,1,,H,48.0,Azul,-42.0,Ini,-14.0,Haku/Kozi,8.0,Nico
06/01/2017,48,1,,H,-29.0,Azul,-52.0,Ini,25.0,Haku/Kozi,56.0,Nico
08/01/2017,49,1,,H,44.0,Chiwi,11.0,Max D.,-22.0,Nico,-33.0,Roy
08/01/2017,50,1,,H,-15.0,Chiwi,43.0,Max D.,5.0,Nico,-33.0,Roy
08/01/2017,51,1,,H,-50.0,Chiwi,13.0,Daniel (old),47.0,Nico,-10.0,Roy
08/01/2017,52,1,,H,-19.0,Adriel,13.0,Daniel (old),44.0,Mati,-38.0,Pedro
08/01/2017,53,1,,H,-32.0,Adriel,10.0,Mati,43.0,Mayra,-21.0,Pedro
11/02/2017,54,1,,H,-19.0,Ezequiel,7.0,Jess,-33.0,Haku/Kozi,45.0,Nico
11/02/2017,55,1,,H,2.0,Akito,-34.0,Ezequiel,-20.0,Jess,52.0,Nico
11/02/2017,56,1,,H,11.0,Emi,-42.0,Ezequiel,56.0,Haku/Kozi,-25.0,Nico
12/02/2017,57,1,,H,-57.0,Ezequiel,51.0,Haku/Kozi,-14.0,Max D.,20.0,Nico
12/02/2017,58,1,,H,-26.0,Ezequiel,22.0,Haku/Kozi,-51.0,Max D.,55.0,Nico
12/02/2017,59,1,,H,9.0,Koki,67.0,Haku/Kozi,-25.0,Max D.,-51.0,Nico
12/02/2017,60,1,,H,-26.0,Chiwi,53.0,Ezequiel,-39.0,Juan,12.0,Lautaro (LP) DiG.
12/02/2017,61,1,,H,-43.0,Koki,-17.0,Mati,7.0,Max D.,53.0,Naoko
12/02/2017,62,1,,H,-40.0,Chiwi,9.0,Koki,56.0,Mati,-25.0,Mayra
12/02/2017,63,1,,H,49.0,Chiwi,-45.0,Mati,-12.0,Mayra,8.0,Naoko
18/02/2017,64,1,,H,55.0,Dario,-50.0,Ezequiel,-21.0,Haku/Kozi,16.0,Nico
18/02/2017,65,1,,H,6.0,Alejandro,-58.0,Dario,-16.0,Figo/Iori,68.0,Haku/Kozi
18/02/2017,66,1,,H,53.0,Dario,-43.0,Figo/Iori,13.0,Nadia,-23.0,Nico
18/02/2017,67,1,,H,-23.0,Ezequiel,14.0,Mati,-44.0,Max D.,53.0,Virginia
18/02/2017,68,1,,H,4.0,Ezequiel,-24.0,Mati,56.0,Max D.,-36.0,Virginia
21/02/2017,69,1,,H,-23.0,Duro,54.0,Figo/Iori,4.0,Lucio,-35.0,Romo
21/02/2017,70,1,,H,8.0,Diego (old),-14.0,Duro,44.0,Figo/Iori,-38.0,Lucio
04/03/2017,71,1,,H,-16.0,Alberto,4.0,Azul,-50.0,Koki,62.0,Pato
04/03/2017,72,1,,H,-18.0,Haku/Kozi,7.0,Max D.,40.0,Mayra,-29.0,Naoko
04/03/2017,73,1,,H,12.0,Haku/Kozi,-19.0,Mati,-52.0,Max D.,59.0,Naoko
04/03/2017,74,1,,H,49.0,Haku/Kozi,14.0,Mati,-47.0,Max D.,-16.0,Naoko
04/03/2017,75,1,,H,1.0,Haku/Kozi,-36.0,Max D.,-53.0,Mayra,88.0,Naoko
04/03/2017,76,1,,H,9.0,Chiwi,-50.0,Jorge,69.0,Mati,-28.0,Nico
04/03/2017,77,1,,H,-52.0,Azul,-26.0,Koki,62.0,Nico,16.0,Pato
04/03/2017,78,1,,H,57.0,Koki,-23.0,Naoko,3.0,Nico,-37.0,Pato
07/03/2017,79,1,,H,-32.0,Chiwi,-17.0,Fer,41.0,Figo/Iori,8.0,Pablo (2de6)
12/03/2017,80,1,,H,-39.0,Chiwi,54.0,Juli F,10.0,Pato,-25.0,Pedro
12/03/2017,81,1,,H,-21.0,Chiwi,-32.0,Koki,46.0,Mati,7.0,Naoko
12/03/2017,82,1,,H,49.0,Chiwi,4.0,Koki,-16.0,Naoko,-37.0,Pato
12/03/2017,83,1,,H,-54.0,Chiwi,10.0,Mati,56.0,Naoko,-12.0,Pato
01/04/2017,84,1,,H,54.0,Angel,-20.0,Duro,-50.0,Lucio,16.0,Romo
08/04/2017,85,1,,H,59.0,Koki,-42.0,Naoko,12.0,Nico,-29.0,Virginia
08/04/2017,86,1,,H,1.0,Jorge,-39.0,Koki,-20.0,Naoko,58.0,Nico
08/04/2017,87,1,,H,-31.0,Adriel,-50.0,Ezequiel,57.0,Haku/Kozi,24.0,Mati
08/04/2017,88,1,,H,2.0,Azul,52.0,Chiwi,-20.0,Haku/Kozi,-34.0,Samanta
08/04/2017,89,1,,H,-49.0,Akito,13.0,Azul,-17.0,Chiwi,53.0,Max D.
08/04/2017,90,1,,H,-34.0,Adriel,1.0,Mati,-23.0,Max D.,56.0,Mayra
08/04/2017,91,1,,H,-23.0,Jorge,5.0,Koki,56.0,Naoko,-38.0,Virginia
08/04/2017,92,1,,H,-26.0,Duro,13.0,Figo/Iori,-43.0,Lucio,56.0,Romo
15/04/2017,93,1,,H,-57.0,Adriel,22.0,Koki,-22.0,Mati,57.0,Naoko
16/04/2017,94,1,,H,-56.0,Juli F,71.0,Koki,5.0,Naoko,-20.0,Pedro
16/04/2017,95,1,,H,11.0,Figo/Iori,-22.0,Ini,69.0,Pato,-58.0,Romo
22/04/2017,96,1,,H,67.0,Figo/Iori,-56.0,Ini,28.0,Pato,-39.0,Romo
22/04/2017,97,1,,H,79.0,Figo/Iori,-54.0,Ini,-28.0,Pato,3.0,Romo
22/04/2017,98,1,,H,17.0,Dario,-43.0,Duro,53.0,Figo/Iori,-27.0,Jess
27/04/2017,99,1,,H,-20.0,Carlos,8.0,Chiwi,44.0,Mati,-32.0,Octavio
27/04/2017,100,1,,H,-43.0,Carlos,1.0,Chiwi,68.0,Haku/Kozi,-26.0,Octavio
27/04/2017,101,1,,H,-41.0,Dario,3.0,Kime,-23.0,Haku/Kozi,61.0,Nico
30/04/2017,102,1,,H,44.0,Dario,-34.0,Kime,13.0,Haku/Kozi,-23.0,Nico
09/05/2017,103,1,,T,-53.0,Angel,17.0,Dario,49.0,Figo/Iori,-13.0,Luli
09/05/2017,104,1,,T,-31.0,Ini,40.0,Jhony,8.0,Michael,-17.0,Nico
13/05/2017,105,1,,H,3.0,Figo/Iori,-19.0,Octavio,71.0,Pato,-55.0,Quimei
13/05/2017,106,1,,H,12.0,Figo/Iori,69.0,Michael,-26.0,Octavio,-55.0,Pato
13/05/2017,107,1,,H,46.0,Figo/Iori,8.0,Lucio,-17.0,Quimei,-37.0,Romo
13/05/2017,108,1,,H,-13.0,Carlos,54.0,Chiwi,9.0,Koki,-50.0,Naoko
13/05/2017,109,1,,H,59.0,Carlos,8.0,Chiwi,-16.0,Koki,-51.0,Naoko
13/05/2017,110,1,,H,-50.0,Carlos,11.0,Chiwi,56.0,Koki,-17.0,Naoko
13/05/2017,111,1,,H,45.0,Jess,-14.0,Michael,-42.0,Octavio,11.0,Pato
13/05/2017,112,1,,H,9.0,Akito,-13.0,Azul,44.0,Ernesto,-40.0,Haku/Kozi
16/05/2017,113,1,,H,10.0,Figo/Iori,-19.0,Lucas,-48.0,Luli,57.0,Max D.
16/05/2017,114,1,,H,10.0,Chiwi,46.0,Jhony,-43.0,Koki,-13.0,Naoko
16/05/2017,115,1,,H,64.0,Chiwi,11.0,Dario,-31.0,Koki,-44.0,Naoko
19/05/2017,116,1,,H,55.0,Guile,-53.0,Ini,-23.0,Pato,21.0,Romo
19/05/2017,117,1,,H,9.0,Figo/Iori,-46.0,Guile,58.0,Ini,-21.0,Pato
19/05/2017,118,1,,H,58.0,Figo/Iori,-46.0,Ini,9.0,Pato,-21.0,Romo
20/05/2017,119,1,,H,-45.0,Adriel,-28.0,Koki,15.0,Michael,58.0,Naoko
20/05/2017,120,1,,H,-55.0,Carlos,-24.0,Figo/Iori,69.0,Lucio,10.0,Nico
20/05/2017,121,1,,H,-20.0,Adriel,19.0,Figo/Iori,-57.0,Lucio,58.0,Nico
20/05/2017,122,1,,H,52.0,Mati,-34.0,Max D.,-19.0,Mayra,1.0,Romo
20/05/2017,123,1,,H,7.0,Akito,-34.0,Koki,46.0,Michael,-19.0,Naoko
20/05/2017,124,1,,H,-25.0,Figo/Iori,64.0,Michael,13.0,Nico,-52.0,Romo
20/05/2017,125,1,,H,-40.0,Akito,8.0,Koki,-24.0,Lucio,56.0,Naoko
20/05/2017,126,1,,H,42.0,Carlos,-21.0,Mati,13.0,Max D.,-34.0,Mayra
23/05/2017,127,1,,H,17.0,Dario,51.0,Figo/Iori,-29.0,Lucas,-39.0,Lucio
23/05/2017,128,1,,H,45.0,Angel,13.0,Fer,-17.0,Ini,-41.0,Michael
23/05/2017,129,1,,H,-20.0,Chiwi,54.0,Jhony,-46.0,Luli,12.0,Mauro
23/05/2017,130,1,,T,-31.0,Fer,-18.0,Jhony,42.0,Lucas,7.0,Lucio
23/05/2017,131,1,,T,54.0,Figo/Iori,-46.0,Luli,-20.0,Mauro,12.0,Michael
27/05/2017,132,1,,H,-1.0,Figo/Iori,59.0,Michael,-34.0,Nico,-24.0,Romo
27/05/2017,133,1,,H,-17.0,Figo/Iori,-52.0,Michael,6.0,Nico,63.0,Romo
28/05/2017,134,1,,H,-28.0,Juli F,6.0,Mati,65.0,Mayra,-43.0,Pedro
28/05/2017,135,1,,H,6.0,Adriel,-27.0,Chiwi,-16.0,Koki,37.0,Naoko
28/05/2017,136,1,,H,-32.0,Adriel,-21.0,Chiwi,51.0,Koki,2.0,Naoko
28/05/2017,137,1,,H,-54.0,Juli F,-10.0,Koki,16.0,Naoko,48.0,Pedro
28/05/2017,138,1,,H,68.0,Adriel,8.0,Chiwi,-51.0,Mati,-25.0,Mayra
30/05/2017,139,1,,H,0.0,Alejandro,-36.0,Angel,-24.0,Chiwi,60.0,Figo/Iori
30/05/2017,140,1,,H,54.0,Jhony,8.0,Koki,-25.0,Lucas,-37.0,Luli
30/05/2017,141,1,,H,-46.0,Alejandro,-32.0,Chiwi,76.0,Figo/Iori,2.0,Naoko
30/05/2017,142,1,,H,-31.0,Ernesto,1.0,Koki,50.0,Lucas,-20.0,Mauro
03/06/2017,143,1,,H,11.0,Carlos,-15.0,Fer,-49.0,Figo/Iori,53.0,Nico
03/06/2017,144,1,,H,1.0,Angel,-48.0,Carlos,68.0,Figo/Iori,-21.0,Romo
03/06/2017,145,1,,H,-20.0,Akito,-40.0,Jess,4.0,Haku/Kozi,56.0,Nico
03/06/2017,146,1,,H,53.0,Figo/Iori,-39.0,Ini,4.0,Jess,-18.0,Nico
03/06/2017,147,1,,H,-57.0,Akito,52.0,Ini,17.0,Haku/Kozi,-12.0,Nico
03/06/2017,148,1,,H,-55.0,Azul,55.0,Figo/Iori,11.0,Jess,-11.0,Haku/Kozi
03/06/2017,149,1,,H,-28.0,Akito,71.0,Azul,-38.0,Haku/Kozi,-5.0,Nico
06/06/2017,150,1,,H,12.0,Alejandro,-34.0,Enio,42.0,Figo/Iori,-20.0,Luli
06/06/2017,151,1,,H,-13.0,Koki,-51.0,Lucas,7.0,Lucio,57.0,Naoko
06/06/2017,152,1,,H,-21.0,Koki,-50.0,Lucio,60.0,Mauro,11.0,Naoko
06/06/2017,153,1,,H,-16.0,Koki,8.0,Lucas,-40.0,Mauro,48.0,Max D.
10/06/2017,154,1,,H,-38.0,Chiwi,58.0,Figo/Iori,6.0,Max D.,-26.0,Michael
10/06/2017,155,1,,H,47.0,Akito,-39.0,Haku/Kozi,7.0,Michael,-15.0,Pato
10/06/2017,156,1,,H,-24.0,Koki,-54.0,Lucio,12.0,Naoko,66.0,Romo
10/06/2017,157,1,,H,-57.0,Chiwi,80.0,Figo/Iori,-23.0,Haku/Kozi,0.0,Romo
10/06/2017,158,1,,H,45.0,Fer,-17.0,Koki,7.0,Lucio,-35.0,Naoko
10/06/2017,159,1,,H,48.0,Fer,12.0,Haku/Kozi,-50.0,Lucio,-10.0,Romo
10/06/2017,160,1,,H,-7.0,Akito,84.0,Koki,-33.0,Michael,-44.0,Naoko
11/06/2017,161,1,,H,22.0,Jess,-79.0,Kime,65.0,Haku/Kozi,-8.0,Nico
11/06/2017,162,1,,H,8.0,Jess,-44.0,Kime,52.0,Haku/Kozi,-16.0,Nico
11/06/2017,163,1,,H,-56.0,Ini,-18.0,Koki,7.0,Naoko,67.0,Wapuro
11/06/2017,164,1,,H,-16.0,Ini,40.0,Mati,8.0,Max D.,-32.0,Mayra
11/06/2017,165,1,,H,-36.0,Koki,41.0,Mati,-16.0,Max D.,11.0,Mayra
11/06/2017,166,1,,H,39.0,Koki,-17.0,Max D.,6.0,Mayra,-28.0,Naoko
11/06/2017,167,1,,H,6.0,Alan,-39.0,Koki,58.0,Max D.,-25.0,Mayra
13/06/2017,168,1,,H,-53.0,Fer,48.0,Figo/Iori,-9.0,Jhony,14.0,Naoko
13/06/2017,169,1,,T,40.0,Alejandro,8.0,Ini,-29.0,Koki,-19.0,Luli
13/06/2017,170,1,,H,-50.0,Ernesto,4.0,Jhony,-19.0,Lucas,65.0,Naoko
13/06/2017,171,1,,T,5.0,Fer,47.0,Ini,-19.0,Koki,-33.0,Luli
13/06/2017,172,1,,H,-21.0,Ernesto,10.0,Lucas,-44.0,Naoko,55.0,Tamara
13/06/2017,173,1,,H,-44.0,Alejandro,-33.0,Ini,65.0,Koki,12.0,Luli
17/06/2017,174,1,,H,86.0,Figo/Iori,4.0,Michael,-38.0,Nadia,-52.0,Pato
17/06/2017,175,1,,H,54.0,Koki,-24.0,Nadia,8.0,Naoko,-38.0,Pato
17/06/2017,176,1,,H,-25.0,Dario,-41.0,Figo/Iori,62.0,Michael,4.0,Nico
17/06/2017,177,1,,T,-33.0,Dario,-20.0,Koki,1.0,Nico,52.0,Pato
17/06/2017,178,1,,T,42.0,Koki,-11.0,Nadia,11.0,Naoko,-42.0,Nico
20/06/2017,179,1,,H,-40.0,Figo/Iori,-19.0,Jhony,7.0,Lucas,52.0,Lucio
20/06/2017,180,1,,H,15.0,Enio,57.0,Figo/Iori,-20.0,Jhony,-52.0,Lucio
24/06/2017,181,1,,H,65.0,Koki,3.0,Michael,-41.0,Naoko,-27.0,Romo
24/06/2017,182,1,,H,3.0,Alejandro,-31.0,Lucio,47.0,Max D.,-19.0,Naoko
24/06/2017,183,1,,H,-23.0,Fer,17.0,Koki,-43.0,Michael,49.0,Romo
25/06/2017,184,1,,H,-49.0,Carlos,-17.0,Chiwi,4.0,Pato,62.0,Quimei
25/06/2017,185,1,,H,57.0,Chiwi,-15.0,Koki,13.0,Naoko,-55.0,Quimei
25/06/2017,186,1,,H,58.0,Chiwi,11.0,Mati,-40.0,Mayra,-29.0,Naoko
27/06/2017,187,1,,H,-37.0,Dario,-21.0,Koki,7.0,Lucio,51.0,Naoko
27/06/2017,188,1,,H,-17.0,Chiwi,-28.0,Fer,5.0,Luli,40.0,Max D.
27/06/2017,189,1,,H,79.0,Alejandro,-29.0,Lucas,-1.0,Mauro,-49.0,Michael
27/06/2017,190,1,,H,42.0,Chiwi,13.0,Dario,-36.0,Lucio,-19.0,Luli
01/07/2017,191,1,,H,46.0,Ernesto,-56.0,Lucio,15.0,Michael,-5.0,Naoko
01/07/2017,192,1,,H,-40.0,Akito,6.0,Alejandro,49.0,Fer,-15.0,Romo
01/07/2017,193,1,,H,-51.0,Angie,9.0,Figo/Iori,54.0,Koki,-12.0,Marcos O
01/07/2017,194,1,,H,-30.0,Ernesto,3.0,Lucio,76.0,Michael,-49.0,Naoko
01/07/2017,195,1,,H,-53.0,Adrian,18.0,Duro,49.0,Figo/Iori,-14.0,Koki
01/07/2017,196,1,,H,77.0,Akito,2.0,Angie,-30.0,Lucio,-49.0,Michael
01/07/2017,197,1,,H,49.0,Alejandro,-21.0,Ernesto,-41.0,Fer,13.0,Naoko
04/07/2017,198,1,,T,4.0,Chiwi,-39.0,Luli,55.0,Mauro,-20.0,Romo
04/07/2017,199,1,,T,46.0,Jess,11.0,Koki,-40.0,Lucas,-17.0,Naoko
04/07/2017,200,1,,T,-33.0,Juli F,42.0,Luli,7.0,Mauro,-16.0,Pedro
04/07/2017,201,1,,T,48.0,Dario,-24.0,Lucio,-42.0,Max D.,18.0,Santiago
04/07/2017,202,1,,H,-18.0,Chiwi,4.0,Ini,44.0,Jess,-30.0,Naoko
04/07/2017,203,1,,T,-14.0,Dario,10.0,Ini,43.0,Lucas,-39.0,Lucio
04/07/2017,204,1,,T,-26.0,Fer,60.0,Figo/Iori,15.0,Michael,-49.0,Romo
04/07/2017,205,1,,T,54.0,Chiwi,6.0,Jess,-16.0,Koki,-44.0,Naoko
04/07/2017,206,1,,T,-35.0,Enio,12.0,Koki,43.0,Luli,-20.0,Mauro
04/07/2017,207,1,,T,-51.0,Dario,9.0,Enio,58.0,Ini,-16.0,Mauro
04/07/2017,208,1,,T,12.0,Fer,-44.0,Lucas,58.0,Michael,-26.0,Romo
04/07/2017,209,1,,T,2.0,Juli F,-24.0,Max D.,38.0,Pedro,-16.0,Santiago
04/07/2017,210,1,,T,-19.0,Juli F,-36.0,Lucio,5.0,Max D.,50.0,Santiago
06/07/2017,211,1,,T,11.0,Fer,-16.0,Figo/Iori,-37.0,Lucio,42.0,Nico
06/07/2017,212,1,,H,-39.0,Akito,49.0,Figo/Iori,-18.0,Lucio,8.0,Nico
11/07/2017,213,1,,T,13.0,Alejandro,44.0,Jess,-20.0,Koki,-37.0,Mati
11/07/2017,214,1,,T,12.0,Alejandro,-20.0,Jess,44.0,Koki,-36.0,Mati
11/07/2017,215,1,,T,7.0,Fer,42.0,Jess,-19.0,Koki,-30.0,Luli
11/07/2017,216,1,,T,55.0,Chiwi,-37.0,Fer,2.0,Lucas Albor,-20.0,Luli
11/07/2017,217,1,,T,11.0,Figo/Iori,-38.0,Jhony,-18.0,Lucio,45.0,Michael
11/07/2017,218,1,,T,-34.0,Figo/Iori,45.0,Jhony,-20.0,Lucio,9.0,Michael
11/07/2017,219,1,,T,-15.0,Jhony,5.0,Lucas,-33.0,Lucio,43.0,Mauro
11/07/2017,220,1,,T,17.0,Chiwi,52.0,Lucas,-19.0,Lucas Albor,-50.0,Mauro
11/07/2017,221,1,,T,14.0,Jhony,-19.0,Lucas,47.0,Lucio,-42.0,Mauro
11/07/2017,222,1,,T,46.0,Chiwi,14.0,Lucas,-19.0,Lucas Albor,-41.0,Mauro
16/07/2017,223,2,1,T,49.0,Akito,-39.0,Alejandro,7.0,Lucio,-17.0,Nico
16/07/2017,224,2,1,T,7.0,Koki,-16.0,Lucas,-40.0,Luli,50.0,Pato
16/07/2017,225,2,1,T,-45.0,Chiwi,55.0,Juli F,-17.0,Mauro,8.0,Pedro
16/07/2017,226,2,1,T,49.0,Ini,-39.0,Jhony,-17.0,Romo,8.0,Tamara
16/07/2017,227,2,1,T,-19.0,Adrian,3.0,Adriel,-47.0,Michael,64.0,Taro
16/07/2017,228,2,1,T,56.0,Azul,9.0,Dario,-48.0,Jess,-17.0,Nadia
16/07/2017,229,2,1,T,-40.0,Figo/Iori,-18.0,Haku/Kozi,4.0,Lucio,54.0,Mauro
16/07/2017,230,2,1,T,66.0,Jess,1.0,Michael,-48.0,Nico,-19.0,Pato
16/07/2017,231,2,1,T,-20.0,Adrian,60.0,Akito,1.0,Azul,-41.0,Luli
16/07/2017,232,2,1,T,-47.0,Alejandro,54.0,Chiwi,11.0,Lucas,-18.0,Nadia
16/07/2017,233,2,1,T,56.0,Adriel,-19.0,Ini,-41.0,Juli F,4.0,Koki
16/07/2017,234,2,1,T,18.0,Dario,-27.0,Mati,61.0,Pedro,-62.0,Taro
16/07/2017,235,2,1,T,4.0,Figo/Iori,-44.0,Ini,64.0,Mati,-24.0,Romo
16/07/2017,236,2,1,T,-14.0,Juli F,51.0,Lucas,8.0,Michael,-44.0,Tamara
16/07/2017,237,2,1,T,55.0,Adriel,-20.0,Ernesto,6.0,Jess,-40.0,Pedro
16/07/2017,238,2,1,T,-43.0,Luli,56.0,Mauro,-19.0,Nadia,6.0,Taro
16/07/2017,239,2,1,T,-41.0,Azul,-21.0,Jhony,63.0,Koki,-1.0,Haku/Kozi
16/07/2017,240,2,1,T,-53.0,Adrian,-12.0,Chiwi,57.0,Dario,8.0,Pato
16/07/2017,241,2,1,T,6.0,Adriel,-17.0,Jhony,-38.0,Juli F,50.0,Pato
16/07/2017,242,2,1,T,-45.0,Lucio,-17.0,Luli,55.0,Michael,8.0,Pedro
16/07/2017,243,2,1,T,-43.0,Chiwi,-20.0,Haku/Kozi,58.0,Nico,5.0,Romo
16/07/2017,244,2,1,T,-38.0,Adrian,7.0,Ernesto,-17.0,Lucas,49.0,Mati
16/07/2017,245,2,1,T,6.0,Akito,58.0,Figo/Iori,-18.0,Koki,-46.0,Taro
16/07/2017,246,2,1,T,50.0,Alejandro,8.0,Ini,-46.0,Mauro,-12.0,Tamara
16/07/2017,247,2,1,T,-25.0,Ernesto,-3.0,Ini,74.0,Jess,-46.0,Lucio
16/07/2017,248,2,1,T,-21.0,Alejandro,12.0,Dario,-60.0,Figo/Iori,69.0,Jhony
16/07/2017,249,2,1,T,-17.0,Akito,55.0,Mati,5.0,Nadia,-43.0,Tamara
16/07/2017,250,2,1,T,-41.0,Azul,-17.0,Haku/Kozi,52.0,Nico,6.0,Romo
16/07/2017,251,2,1,H,-38.0,Adriel,5.0,Akito,-17.0,Jess,51.0,Mati
18/07/2017,252,2,,H,23.0,Chiwi,56.0,Koki,-51.0,Luli,-28.0,Nico
18/07/2017,253,2,,T,-18.0,Adrian,42.0,Ini,-29.0,Lucas Albor,5.0,Tamara
18/07/2017,254,2,,H,-30.0,Enio,73.0,Figo/Iori,10.0,Lucas,-53.0,Luli
18/07/2017,255,2,,H,-21.0,Chiwi,59.0,Koki,-47.0,Mauro,9.0,Nico
18/07/2017,256,2,,H,-43.0,Enio,-10.0,Figo/Iori,12.0,Lucas Albor,41.0,Luli
18/07/2017,257,2,,H,-53.0,Chiwi,-11.0,Koki,50.0,Michael,14.0,Nico
22/07/2017,258,2,,H,49.0,Akito,12.0,Duro,-10.0,Max D.,-51.0,Romo
22/07/2017,259,2,,T,13.0,Adrian,-18.0,Fer,-50.0,Mati G. (minimati),55.0,Michael
22/07/2017,260,2,,T,45.0,Adrian,5.0,Alejandro,-31.0,Fer,-19.0,Mati G. (minimati)
22/07/2017,261,2,,T,-36.0,Adrian,40.0,Alejandro,-12.0,Mati G. (minimati),8.0,Romo
22/07/2017,262,2,,H,3.0,Akito,76.0,Figo/Iori,-45.0,Max D.,-34.0,Michael
22/07/2017,263,2,,H,-64.0,Adrian,78.0,Figo/Iori,9.0,Max D.,-23.0,Romo
22/07/2017,264,2,,H,10.0,Adrian,-42.0,Figo/Iori,51.0,Max D.,-19.0,Romo
